Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present,Web Description
Loretto Hospital ,IL,Healthcare Provider,501,04/04/2025,Hacking/IT Incident,Network Server,No,
Central Texas Pediatric Orthopedics ,TX,Healthcare Provider,140000,04/04/2025,Hacking/IT Incident,Network Server,No,
Worthington Steel Health and Welfare Plan,OH,Health Plan,3864,04/04/2025,Hacking/IT Incident,Network Server,No,
True Dental Care For Kids and Adults LLC,PA,Healthcare Provider,17640,04/02/2025,Hacking/IT Incident,Network Server,No,
Health Services LLC,OH,Healthcare Provider,2400,04/01/2025,Hacking/IT Incident,Network Server,No,
"Family Centers, Inc.",CT,Healthcare Provider,501,03/31/2025,Hacking/IT Incident,Network Server,No,
North Hudson Community Action Corporation,NJ,Healthcare Provider,501,03/28/2025,Hacking/IT Incident,Network Server,No,
Sentara Health,VA,Healthcare Provider,1620,03/28/2025,Unauthorized Access/Disclosure,Electronic Medical Record,No,
Apria Healthcare LLC,IN,Healthcare Provider,713,03/28/2025,Unauthorized Access/Disclosure,Paper/Films,No,
Mayo Clinic,MN,Healthcare Provider,1869,03/28/2025,Unauthorized Access/Disclosure,Email,No,
SimonMed Imaging,AZ,Healthcare Provider,500,03/27/2025,Hacking/IT Incident,Network Server,No,
Georgia Urology,GA,Healthcare Provider,12398,03/27/2025,Hacking/IT Incident,Email,No,
Mercer County Joint Township Community Hospital,OH,Healthcare Provider,88541,03/26/2025,Hacking/IT Incident,Network Server,No,
Western Wayne Family Physicians ,MI,Healthcare Provider,62000,03/26/2025,Hacking/IT Incident,Network Server,No,
Concord Orthopaedics,NH,Healthcare Provider,72815,03/25/2025,Hacking/IT Incident,Other,No,
Bigfork Valley Hospital,MN,Healthcare Provider,8496,03/25/2025,Hacking/IT Incident,Email,No,
William F Rinehart DMD PA ,SC,Healthcare Provider,25000,03/24/2025,Hacking/IT Incident,Network Server,No,
PAR Rehab,MI,Healthcare Provider,4300,03/21/2025,Hacking/IT Incident,Email,No,
AmeriHealth Caritas Louisiana ,LA,Health Plan,1552,03/21/2025,Unauthorized Access/Disclosure,"Network Server, Other",No,
Pineland Community Service Board,GA,Healthcare Provider,501,03/20/2025,Hacking/IT Incident,Network Server,No,
Meigs County Emergency Medical Services,OH,Healthcare Provider,5802,03/20/2025,Hacking/IT Incident,Email,No,
Millennium Home Health Care,OK,Healthcare Provider,4743,03/19/2025,Hacking/IT Incident,Network Server,No,
Dove Healthcare,WI,Healthcare Provider,16255,03/18/2025,Hacking/IT Incident,Network Server,No,
Presbyterian Health Plan,NM,Health Plan,7100,03/18/2025,Hacking/IT Incident,Email,No,
